phenotype-antibiotic_name,phenotype-resistance_phenotype,phenotype-gen_measurement,phenotype-ast_standard,phenotype-laboratory_typing_method,phenotype-platform,phenotype-BioSample_ID,phenotype-assembly_ID,phenotype-genus,phenotype-species,phenotype-organism,phenotype-host,phenotype-SRA_accession,phenotype-gen_antibiotic_ontology,phenotype-collection_year,phenotype-host_age,phenotype-host_sex,phenotype-isolate,phenotype-isolation_source,phenotype-isolation_source_category,phenotype-isolation_latitude,phenotype-isolation_longitude,phenotype-AMR_associated_publications,phenotype-Updated_phenotype_CLSI,phenotype-Updated_phenotype_EUCAST,phenotype-used_ECOFF,phenotype-database,phenotype-country,phenotype-geographical_region,phenotype-geographical_subregion
oxacillin,resistant,== 8 mg/L,CLSI,broth dilution,,SAMN04901616,GCA_003203595.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS1739410,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,FDA-CDC-AR_0226,,,,,33659219,resistant,resistant,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,resistant,== 16 mg/L,CLSI,broth dilution,,SAMN04901617,GCA_003260465.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS1739411,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,FDA-CDC-AR_0227,,,,,33659219,resistant,resistant,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,resistant,== 16 mg/L,CLSI,broth dilution,,SAMN04901618,GCA_003203635.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS1739412,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,FDA-CDC-AR_0228,,,,,33659219,resistant,resistant,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,susceptible,<= 0.25 mg/L,CLSI,broth dilution,,SAMN07291554,GCA_003073715.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS3159763,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,AR461,,,,,33659219,susceptible,susceptible,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,susceptible,<= 0.25 mg/L,CLSI,broth dilution,,SAMN07291555,GCA_003073775.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS3163155,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,AR462,,,,,33659219,susceptible,susceptible,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,susceptible,== 0.5 mg/L,CLSI,broth dilution,,SAMN07291557,GCA_003073755.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS3163156,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,AR464,,,,,33659219,susceptible,susceptible,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,susceptible,== 1 mg/L,CLSI,broth dilution,,SAMN07291558,GCA_003073655.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS3159764,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,AR465,,,,,33659219,susceptible,susceptible,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,susceptible,== 1 mg/L,CLSI,broth dilution,,SAMN07291559,GCA_003073635.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS3159765,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,AR466,,,,,33659219,susceptible,susceptible,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,susceptible,== 2 mg/L,CLSI,broth dilution,,SAMN07291560,GCA_003193885.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS3159766,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,AR_0467,,,,,33659219,susceptible,susceptible,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,susceptible,== 2 mg/L,CLSI,broth dilution,,SAMN07291561,GCA_003203615.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS3159767,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,AR_0468,,,,,33659219,susceptible,susceptible,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
